trial,trialtype,target,response
472,1,-0.98,-0.5558693278930615
473,2,0.98,0.7703296068459571
474,3,0.98,0.6079267678550035
475,4,-0.98,0.6655010875331631
476,1,-0.98,-0.28073679506397264
477,2,0.98,0.7689656301406429
478,3,0.98,0.48479404003582566
479,4,-0.98,0.44871370602168753
480,1,-0.98,-0.3737402767495801
481,2,0.98,0.7906232742897619
482,3,0.98,0.5324230361539162
483,4,-0.98,0.5673966650982684
484,1,-0.98,-0.27870472920738154
485,2,0.98,0.8313009002062126
486,3,0.98,0.5940130159925736
487,4,-0.98,0.5667131405239306
488,1,-0.98,-0.2749929456583088
489,2,0.98,0.8125890442486068
490,3,0.98,0.6163513844727763
491,4,-0.98,0.5989063463262458
492,1,-0.98,-0.3690628103885933
493,2,0.98,0.42773441741225776
494,3,0.98,0.8613920739439509
495,4,-0.98,0.6332807955211484
496,1,-0.98,-0.09938156310955809
497,2,0.98,0.31934852990015267
498,3,0.98,0.4838661976892721
499,4,-0.98,0.46674199927050786
500,1,-0.98,-0.2549552478579868
501,2,0.98,0.0725294638504938
502,3,0.98,0.5930014835794643
503,4,-0.98,0.733833820908304
504,1,-0.98,-0.5901215302047952
505,2,0.98,0.3749682506719562
506,3,0.98,0.5815124205220632
507,4,-0.98,0.7895554851526055
508,1,-0.98,-0.2495490229047422
509,2,0.98,0.8080078422122422
510,3,0.98,0.7561462146274202
511,4,-0.98,0.603472558088148
512,1,-0.98,-0.4263938761012384
513,2,0.98,0.8712843547176047
514,3,0.98,0.585794462852134
515,4,-0.98,0.6193844599311897
516,1,-0.98,-0.5239116507255286
517,2,0.98,0.8229182445580895
518,3,0.98,0.6479889301947497
519,4,-0.98,0.6152595194898117
520,1,-0.98,-0.5185377761060344
521,2,0.98,0.8515844485244216
522,3,0.98,0.42869206409186267
523,4,-0.98,0.6526230089667114
524,1,-0.98,-0.3082635876591208
525,2,0.98,0.7220162224237765
526,3,0.98,0.480716194540292
527,4,-0.98,0.7680537623783874
528,1,-0.98,-0.4624952991531817
529,2,0.98,0.7347921332538015
530,3,0.98,0.6147147173476747
531,4,-0.98,0.6072282469877045
532,1,-0.98,-0.5059662790754056
533,2,0.98,0.7876245080542108
534,3,0.98,0.5468982067022048
535,4,-0.98,0.5360878855685459
536,1,-0.98,-0.016452223334513832
537,2,0.98,0.3906556115679624
538,3,0.98,0.6107953761442588
539,4,-0.98,0.6418796368302101
540,1,-0.98,-0.36509468725402844
541,2,0.98,0.7016059908031675
542,3,0.98,0.7238539674188256
543,4,-0.98,0.7682390986970521
544,1,-0.98,-0.602797618368329
545,2,0.98,0.49852312868146514
546,3,0.98,0.7222195952530107
547,4,-0.98,0.6074300392048395
548,1,-0.98,-0.12535703192702513
549,2,0.98,0.7235610515018108
550,3,0.98,0.6930646975610756
